@RELATION DepthMaps 
@ATTRIBUTE shape_context3D0 numeric
@ATTRIBUTE shape_context3D1 numeric
@ATTRIBUTE shape_context3D2 numeric
@ATTRIBUTE shape_context3D3 numeric
@ATTRIBUTE shape_context3D4 numeric
@ATTRIBUTE shape_context3D5 numeric
@ATTRIBUTE shape_context3D6 numeric
@ATTRIBUTE shape_context3D7 numeric
@ATTRIBUTE shape_context3D8 numeric
@ATTRIBUTE shape_context3D9 numeric
@ATTRIBUTE shape_context3D10 numeric
@ATTRIBUTE shape_context3D11 numeric
@ATTRIBUTE shape_context3D12 numeric
@ATTRIBUTE shape_context3D13 numeric
@ATTRIBUTE shape_context3D14 numeric
@ATTRIBUTE shape_context3D15 numeric
@ATTRIBUTE shape_context3D16 numeric
@ATTRIBUTE shape_context3D17 numeric
@ATTRIBUTE shape_context3D18 numeric
@ATTRIBUTE shape_context3D19 numeric
@ATTRIBUTE class { A B C D E  } 

 @DATA 
0.000000,0.168435,-0.013820,0.006636,0.037637,0.086802,0.032558,-0.091138,-0.042183,0.020160,-0.037143,-0.035847,-0.007929,-0.005877,-0.006080,-0.011356,-0.100010,-0.059617,-0.047801,-0.009369,B
0.000000,0.209311,0.112857,0.083983,0.073587,0.024111,0.096939,-0.044963,-0.019597,0.032794,-0.041271,-0.005772,0.008297,-0.003074,0.003736,-0.018112,-0.100805,-0.059455,-0.047809,-0.009399,B
0.000000,0.180667,-0.025010,0.003383,0.049477,0.032369,-0.002375,-0.054629,-0.046120,0.041444,-0.018801,-0.023069,0.006356,-0.012367,-0.014887,-0.000225,-0.100191,-0.059659,-0.047931,-0.009317,B
0.000000,0.207623,-0.074281,0.003177,0.029196,-0.031169,-0.019148,-0.043224,-0.056836,0.058929,-0.014371,0.004027,0.007886,-0.016922,-0.012146,-0.004548,-0.100372,-0.059399,-0.047910,-0.009356,B
0.000000,0.161925,0.025826,0.030396,0.016882,0.065855,0.040990,-0.128963,-0.038384,-0.010805,-0.044544,0.007849,-0.003986,-0.045673,-0.005087,0.000309,-0.100530,-0.059427,-0.047852,-0.009276,B
0.000000,0.111826,-0.084847,0.029208,-0.025832,-0.035782,-0.114545,-0.011251,-0.033587,0.021139,-0.007710,-0.056261,-0.007044,-0.037180,0.001974,-0.014390,-0.099773,-0.059454,-0.047810,-0.009343,B
0.000000,0.223627,-0.073414,-0.025223,0.020532,-0.101814,-0.010656,-0.066827,-0.036502,0.077364,-0.007082,0.017358,0.009642,-0.007821,-0.003518,0.004632,-0.099880,-0.059018,-0.047878,-0.009358,B
0.000000,0.154502,0.056736,-0.021396,0.045687,0.044243,0.036451,-0.150230,0.011409,0.024962,-0.011582,-0.025942,0.000149,-0.006287,0.000725,-0.004500,-0.099514,-0.059206,-0.047641,-0.009369,B
0.000000,-0.032792,0.204465,0.000811,0.009385,0.029835,-0.000045,-0.043354,-0.062481,0.045777,-0.021753,-0.015551,0.004362,-0.016854,0.004050,0.002927,-0.100149,-0.059441,-0.047981,-0.009235,C
0.000000,0.025694,0.128620,0.053326,-0.063649,0.009655,0.021832,-0.078971,-0.060417,0.039701,-0.035113,-0.020196,-0.010348,-0.025159,-0.007675,0.009947,-0.100300,-0.059534,-0.047751,-0.009303,C
0.000000,-0.159164,-0.021743,0.097239,0.101170,-0.049534,-0.001415,-0.063201,-0.057512,-0.009453,-0.011601,-0.017336,0.002447,-0.001522,-0.011816,0.013244,-0.099303,-0.059705,-0.047766,-0.009310,C
0.000000,0.068698,0.038053,-0.106708,0.100201,0.072735,0.031834,-0.005438,-0.072619,0.032860,-0.028636,-0.035157,0.010168,-0.021735,-0.007924,0.008513,-0.099958,-0.059518,-0.047795,-0.009279,C
0.000000,-0.133251,-0.002135,0.086364,0.041105,0.035306,0.010167,-0.034073,-0.039762,0.016777,-0.014780,-0.001121,-0.005880,-0.015868,-0.003219,-0.006872,-0.100586,-0.059388,-0.047987,-0.009406,C
0.000000,0.050951,0.119197,-0.130542,0.032473,0.019702,0.027147,-0.084219,-0.080365,-0.014578,-0.005401,-0.020295,-0.007153,0.002151,-0.006407,-0.005499,-0.100000,-0.059494,-0.047797,-0.009471,C
