@RELATION DepthMaps 
@ATTRIBUTE point_cloud0 numeric
@ATTRIBUTE point_cloud1 numeric
@ATTRIBUTE point_cloud2 numeric
@ATTRIBUTE point_cloud3 numeric
@ATTRIBUTE point_cloud4 numeric
@ATTRIBUTE point_cloud5 numeric
@ATTRIBUTE point_cloud6 numeric
@ATTRIBUTE point_cloud7 numeric
@ATTRIBUTE point_cloud8 numeric
@ATTRIBUTE point_cloud9 numeric
@ATTRIBUTE point_cloud10 numeric
@ATTRIBUTE point_cloud11 numeric
@ATTRIBUTE point_cloud12 numeric
@ATTRIBUTE point_cloud13 numeric
@ATTRIBUTE point_cloud14 numeric
@ATTRIBUTE class { A B C D E  } 

 @DATA 
249.602195,278.459282,33.042349,114.327492,41.025349,51.454421,0.999046,0.031654,0.030073,-0.035137,0.991737,0.123379,0.731621,0.560553,0.387958,C
262.055992,272.085357,107.472203,118.973345,58.845247,25.810535,-0.997221,-0.074488,0.001159,0.074458,-0.997082,-0.016853,0.701549,0.607814,0.372011,C
269.595876,198.874030,85.279363,100.153067,36.739553,32.218666,0.995766,0.088931,-0.023285,0.089577,-0.995577,0.028327,0.785565,0.457563,0.416563,C
265.639526,184.553111,85.179582,102.667077,35.846482,34.486748,0.997867,0.063470,-0.015243,0.060325,-0.985899,-0.156093,0.794890,0.436443,0.421507,C
260.453952,165.291758,65.752390,84.595637,25.722933,44.327881,0.999776,-0.005649,-0.020379,-0.020340,0.006847,-0.999770,0.797637,0.397926,0.453243,C
268.353749,197.728887,71.028827,85.356335,29.871646,49.521520,-0.998589,-0.008284,-0.052460,0.052338,0.014321,-0.998527,0.779505,0.450571,0.435152,C
262.773175,227.211224,68.712814,86.851723,26.773149,48.833273,0.999400,0.027036,0.021641,-0.026773,0.999565,-0.012340,0.759162,0.487426,0.431381,C
129.487753,322.262286,24.536634,71.611493,22.791199,58.997337,-0.980078,-0.042155,-0.194089,-0.193755,-0.011921,0.980978,0.535248,0.699366,0.473704,C
261.228583,227.266089,69.089371,86.330477,25.973041,47.559375,-0.999075,-0.039726,-0.016464,-0.039684,0.999208,-0.002882,0.759162,0.487426,0.431381,C
268.929654,161.626517,26.718823,105.708283,38.176177,44.823276,0.998029,0.062556,0.005065,-0.061202,0.987944,-0.142200,0.803974,0.414575,0.426325,A
139.631670,305.520415,32.531650,71.647548,28.382493,70.118229,-0.756362,0.031833,-0.653378,0.653047,-0.021330,-0.757017,0.530064,0.697253,0.482567,C
130.344522,356.705391,62.465685,67.151227,20.639911,52.786811,-0.998648,-0.019544,-0.048170,0.048700,-0.027561,-0.998433,0.502718,0.733356,0.457672,C
129.922427,418.643091,61.403822,67.445751,21.526262,49.215975,-0.997256,-0.019131,0.071514,0.071485,0.002189,0.997439,0.451793,0.785220,0.423452,C
129.899628,417.987027,62.595158,70.502203,19.594751,50.696636,-0.995356,-0.001059,0.096260,0.096237,0.013887,0.995262,0.467129,0.775200,0.425272,C
132.635661,415.602252,64.445655,69.438494,17.383702,54.863633,-0.995034,0.032652,0.094033,0.093880,-0.006195,0.995564,0.456559,0.780025,0.427919,C
128.048401,405.668469,65.293622,69.049786,19.426129,52.839052,-0.998558,-0.030265,0.044344,-0.031303,0.999247,-0.022907,0.476964,0.764168,0.434225,C
130.163000,420.923866,68.568294,68.856289,21.145387,50.302120,0.999757,0.017508,-0.013393,-0.017366,0.999793,0.010612,0.457563,0.785565,0.416563,C
