@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

DepthMaps,1,10,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.166667,0.258792,60.606061,70.700727,5.034216,2.553714,2.480502,1.678072,0.851238,0.826834,2.480502,0.826834,131.543277,1,1,0,0,1,2,0,0,1,1,1,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.916667,0.011,0,0.0156,0,100242,8581,3853,?,0.481481
DepthMaps,2,1,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.184,0.269592,66.909091,73.651294,5.034216,2.734928,2.299288,1.678072,0.911643,0.766429,2.299288,0.766429,121.933337,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,95641,8581,3853,?,0.444444
DepthMaps,2,2,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.189333,0.283807,68.848485,77.534807,5.034216,3.120043,1.914172,1.678072,1.040014,0.638057,2.038532,0.679511,108.105245,0,0,0,0,1,2,1,1,0,0,0,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.833333,0.011,0,0.0156,0,101800,8581,3853,?,0.481481
DepthMaps,2,3,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.137333,0.209921,49.939394,57.349287,5.034216,1.864076,3.170139,1.678072,0.621359,1.056713,3.170139,1.056713,168.115397,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,100990,8581,3853,?,0.444444
DepthMaps,2,4,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.162667,0.260896,59.151515,71.275482,5.034216,2.530722,2.503493,1.678072,0.843574,0.834498,2.503493,0.834498,132.762545,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.011,0,0.0156,0,97101,8581,3853,?,0.259259
DepthMaps,2,5,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.189333,0.300732,68.848485,82.158632,5.034216,3.107405,1.92681,1.678072,1.035802,0.64227,2.018603,0.672868,107.048345,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.666667,0.011,0,0,0,99260,8581,3853,?,0.333333
DepthMaps,2,6,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.189333,0.269765,68.848485,73.698569,5.034216,2.809954,2.224262,1.678072,0.936651,0.741421,2.224262,0.741421,117.954635,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.012,0,0.0156,0,100033,8581,3853,?,0.37037
DepthMaps,2,7,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,1,2,0,33.333333,66.666667,0,0,0.244,0.385988,88.727273,105.45001,5.034216,4.895395,0.138821,1.678072,1.631798,0.046274,0.891611,0.297204,47.282967,0,0,0.5,1,0.5,1,1,1,0,0,0,0.5,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.5,0.01,0,0.0156,0,94389,8581,3853,?,0.407407
DepthMaps,2,8,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.185333,0.262348,67.393939,71.672292,5.034216,2.744216,2.289999,1.678072,0.914739,0.763333,2.289999,0.763333,121.440761,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.01,0,0.0156,0,95935,8581,3853,?,0.407407
DepthMaps,2,9,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,1,2,0,33.333333,66.666667,0,0,0.202667,0.340509,73.69697,93.025509,5.034216,3.74159,1.292626,1.678072,1.247197,0.430875,1.528808,0.509603,81.074101,0,0,0,0,1,2,1,1,0,0,0,1,0.333333,0.333333,0.666667,0.666667,0.166667,0.333333,0.222222,0.833333,0.011,0,0.0156,0,96205,8581,3853,?,0.37037
